id,insert_ns
891,2524000
892,3107000
893,3863000
894,3019000
895,3364000
896,3806000
897,2721000
898,3455000
899,4259000
900,3262000
901,2956000
902,3690000
903,3450000
904,3126000
905,3912000
906,3045000
907,3045000
908,4838000
909,4731000
910,3726000
911,4225000
912,4265000
913,2996000
914,4324000
915,4437000
916,3058000
917,3725000
918,4530000
919,3660000
920,2858000
921,3050000
922,3920000
923,4117000
924,3984000
925,2821000
926,2520000
927,2913000
928,2525000
929,3061000
930,2657000
931,5179000
932,4184000
933,5017000
934,3345000
935,3259000
936,5646000
937,3423000
938,3624000
939,3300000
940,3170000
941,3466000
942,4415000
943,2917000
944,3065000
945,3584000
946,3855000
947,2499000
948,2321000
949,3813000
950,3113000
951,2833000
952,2820000
953,3909000
954,2994000
955,2843000
956,4083000
957,2854000
958,3153000
959,3449000
960,3108000
961,3140000
962,2645000
963,2892000
964,3064000
965,3756000
966,4446000
967,2786000
968,2974000
969,2719000
970,4208000
971,3178000
972,2966000
973,2325000
974,4646000
975,2608000
976,3338000
977,3581000
978,4411000
979,3219000
980,3495000
981,3169000
982,3171000
983,3368000
984,3615000
985,5119000
986,2998000
987,4312000
988,5369000
989,3315000
990,3348000
991,3153000
992,2969000
993,2952000
994,2928000
995,2906000
996,2579000
997,3009000
998,3013000
999,2901000
1000,3919000
1001,3081000
1002,2935000
1003,4270000
1004,3513000
1005,4286000
1006,3196000
1007,3481000
1008,3425000
1009,4377000
1010,4167000
1011,3727000
1012,3803000
1013,4197000
1014,3204000
1015,3148000
1016,4368000
1017,2843000
1018,2636000
1019,3132000
1020,3243000
1021,2742000
1022,3300000
1023,4784000
1024,2765000
1025,3069000
1026,3712000
1027,3855000
1028,3635000
1029,3852000
1030,3538000
1031,4448000
1032,3737000
1033,3621000
1034,4625000
1035,3424000
1036,4315000
1037,4560000
1038,3412000
1039,4086000
1040,5285000
1041,4064000
1042,3097000
1043,4171000
1044,3838000
1045,3346000
1046,4028000
1047,3599000
1048,3227000
1049,3594000
1050,2948000
1051,3282000
1052,4317000
1053,2868000
1054,2272000
1055,3861000
1056,3126000
1057,3732000
1058,6627000
1059,3039000
1060,4449000
1061,2968000
1062,3237000
1063,3051000
1064,4500000
1065,5080000
1066,3832000
1067,4731000
1068,5468000
1069,4547000
1070,4821000
1071,3294000
1072,2849000
1073,3287000
1074,7259000
1075,10131000
1076,6321000
1077,3296000
1078,4074000
1079,3955000
1080,9354000
1081,4087000
1082,4728000
1083,3884000
1084,4521000
1085,5381000
1086,2933000
1087,3648000
1088,3851000
1089,3664000
1090,3923000
1091,3460000
1092,3238000
1093,2798000
1094,4290000
1095,3277000
1096,3822000
1097,3309000
1098,2852000
1099,3616000
