id,insert_ns
709,3349000
710,4012000
711,2632000
712,2792000
713,2438000
714,3680000
715,2351000
716,3639000
717,2656000
718,2717000
719,2865000
720,3058000
721,2811000
722,3147000
723,2975000
724,3920000
725,3239000
726,2985000
727,3073000
728,3400000
729,2481000
730,2857000
731,3182000
732,3096000
733,2778000
734,2689000
735,3161000
736,2538000
737,2502000
738,2871000
739,2982000
740,3399000
741,3490000
742,3821000
743,3036000
744,2967000
745,3006000
746,3105000
747,2786000
748,2640000
749,2906000
750,3154000
751,2760000
752,4143000
753,3233000
754,2830000
755,3491000
756,3009000
757,3383000
758,3156000
759,2622000
760,3061000
761,2248000
762,2602000
763,3067000
764,3737000
765,4592000
766,5625000
767,6426000
768,5127000
769,3376000
770,4134000
771,3670000
772,3574000
773,3097000
774,3079000
775,2904000
776,3374000
777,3108000
778,3453000
779,3066000
780,3085000
781,3256000
782,3527000
783,3155000
784,3390000
785,3262000
786,3156000
787,2492000
788,2556000
789,2418000
790,2763000
791,3287000
792,3114000
793,2511000
794,3031000
795,2895000
796,2776000
797,9641000
798,5997000
799,4567000
800,3428000
801,3329000
802,2929000
803,3459000
804,2759000
805,3064000
806,2419000
807,2500000
808,3056000
809,2696000
810,2809000
811,3362000
812,3375000
813,4033000
814,3179000
815,2890000
816,2812000
817,2822000
818,2651000
819,2166000
820,2476000
821,2784000
822,2480000
823,3189000
824,2642000
825,2694000
826,2943000
827,2934000
828,2489000
829,2652000
830,2786000
831,2792000
832,2533000
833,2663000
834,2607000
835,2387000
836,2896000
837,2240000
838,2841000
839,2677000
840,2976000
841,3808000
842,3214000
843,3369000
844,5039000
845,3829000
846,2634000
847,2771000
848,2881000
849,2874000
850,2560000
851,2638000
852,3044000
853,2741000
854,2353000
855,3137000
856,2443000
857,2785000
858,2281000
859,2474000
860,2761000
861,2463000
862,2670000
863,2708000
864,3960000
865,3072000
866,3435000
867,4073000
868,3818000
869,3386000
870,3689000
871,3235000
872,3389000
873,3221000
874,4100000
875,3493000
876,4007000
877,3119000
878,4711000
879,3324000
880,2913000
881,3208000
882,2951000
883,2836000
884,2790000
885,3407000
886,3148000
887,2543000
888,3056000
889,2675000
890,3354000
891,2451000
892,2595000
893,2589000
894,2393000
895,2526000
896,2579000
897,2741000
898,2697000
899,2279000
900,2768000
901,2667000
902,2451000
903,2186000
904,2435000
905,2977000
906,2462000
907,2732000
908,2743000
909,2435000
910,2259000
911,2701000
912,3029000
913,2263000
914,3321000
915,3118000
916,2582000
917,2631000
918,2568000
919,2664000
920,2782000
921,2351000
922,2579000
923,2367000
924,2806000
925,2259000
926,2447000
927,2329000
928,2553000
929,2437000
930,3049000
931,3218000
932,2013000
933,2467000
934,2439000
935,2430000
936,2696000
937,2792000
938,2203000
939,3017000
940,2550000
941,3296000
942,2540000
943,2550000
944,2667000
945,2212000
946,2498000
947,2243000
948,2352000
949,2863000
950,2565000
951,2105000
952,3193000
953,2075000
954,2477000
955,2548000
956,2899000
957,2229000
958,2576000
959,2732000
960,3473000
961,3203000
962,2721000
963,3138000
964,2714000
965,2540000
966,2445000
967,2475000
968,2966000
969,2541000
970,2511000
971,2804000
972,13051000
973,4739000
974,3529000
975,3079000
976,3672000
977,3175000
978,2777000
979,4131000
980,3040000
981,2715000
982,2428000
983,3049000
984,2916000
985,3020000
986,3197000
987,3037000
988,2706000
989,3250000
990,2817000
991,2801000
992,2780000
993,3369000
994,2933000
995,3942000
996,4002000
997,3489000
998,3818000
999,3244000
1000,2913000
1001,3384000
1002,2941000
1003,3141000
1004,2811000
1005,3090000
1006,2451000
1007,2741000
1008,2558000
1009,3018000
1010,2720000
1011,2942000
1012,2893000
1013,2939000
1014,3162000
1015,2600000
1016,3029000
1017,2725000
1018,3280000
1019,3262000
1020,3188000
1021,3073000
1022,4900000
1023,3894000
1024,3823000
1025,3650000
1026,4042000
1027,3516000
1028,2887000
1029,2901000
1030,3415000
1031,2911000
1032,2754000
1033,2748000
1034,3501000
1035,2835000
1036,2979000
1037,2751000
1038,3311000
1039,3051000
1040,3025000
1041,2852000
1042,2827000
1043,2772000
1044,3529000
1045,3002000
1046,2897000
1047,3020000
1048,3296000
1049,3123000
1050,3087000
1051,3142000
1052,3207000
1053,2713000
1054,3047000
1055,3456000
1056,3454000
1057,2701000
1058,2826000
1059,3036000
1060,2963000
1061,2528000
1062,3337000
1063,3357000
1064,3032000
1065,2157000
1066,2724000
1067,2604000
1068,3264000
1069,2592000
1070,3138000
1071,3052000
1072,2804000
1073,3064000
1074,2756000
1075,2868000
1076,2642000
1077,4135000
1078,3251000
1079,3335000
1080,3620000
1081,3134000
1082,2859000
1083,4026000
1084,3717000
1085,3930000
1086,3562000
1087,2961000
1088,2701000
1089,2786000
1090,2803000
1091,3007000
1092,3224000
1093,3062000
1094,3267000
1095,3882000
1096,3187000
1097,3064000
1098,2475000
1099,3337000
1100,3301000
1101,3006000
1102,3608000
1103,3333000
1104,3028000
1105,2630000
1106,2467000
1107,2679000
1108,2304000
1109,2166000
1110,2813000
1111,2282000
1112,2447000
1113,2466000
1114,2496000
1115,2360000
1116,2365000
1117,2413000
1118,2784000
1119,2637000
1120,2302000
1121,2520000
1122,2765000
1123,2313000
1124,2325000
1125,2774000
1126,2378000
1127,2409000
1128,2419000
1129,2578000
